Food Name,Calories,Carbohydrates (g),Sugars (g),Fat (g),Protein (g),Fiber (g),Vitamin_A_µg,Vitamin_B_complex_mg,Vitamin_C_mg,Vitamin_D_µg,Vitamin_E_mg,Vitamin_K_µg,Calcium_mg,Iron_mg,Potassium_mg,Magnesium_mg,Zinc_mg,Sodium_mg,Category,Cuisine,Meal_Type
": Mushroom Pilau Rice, 1 Container",174.4,26.4,0.0,6.0,3.6,0.0,0.0,0.04,7.8,0.13,0.51,7.78,14.7,0.12,126.1,6.6,0.79,197,Lunch,Global,Lunch
"Chickpeas Curry Chickpeas Curry Styple, 0.5 cup",54.0,9.2,0.0,0.8,3.2,0.0,22.4,0.09,2.1,0.07,0.32,3.57,3.2,0.79,4.2,0.7,0.11,187,Dinner,Pakistani,Dinner
"Store Jalebi, 1.2 pieces",56.8,10.0,0.0,1.6,0.8,0.0,35.7,0.17,1.9,0.05,0.19,1.39,23.1,0.06,161.5,24.3,0.36,280,Dinner,Pakistani,Lunch
"Mission Naan Bread Garlic and Herb, 2 piece 70g",172.8,26.0,0.0,5.2,4.4,0.0,16.7,0.2,2.5,0.03,0.21,6.48,51.3,1.37,292.3,5.9,0.75,247,Breakfast,Pakistani,Breakfast
"Moong Dal Cooked, 1.5 cup",127.2,24.0,0.0,0.4,9.6,0.0,0.0,0.08,8.6,0.0,0.18,3.0,23.5,2.1,196.0,7.4,0.04,293,Dinner,Pakistani,Lunch
"Green Beans by gram, 138 serving(s)",24.4,4.4,0.0,0.8,1.2,0.0,45.4,0.11,6.6,0.19,0.14,18.38,24.9,0.12,120.4,12.4,0.22,313,Lunch,Pakistani,Lunch
Spicy Chicken Lettuce Wraps,66.0,6.0,0.0,2.4,5.6,0.0,13.6,0.3,5.6,0.06,0.57,14.28,23.3,0.0,244.1,12.9,0.87,230,Dinner,Pakistani,Dinner
"Haldiram's Dodha Burfee ( Sweets), 34 g",52.0,6.8,0.0,2.4,1.2,0.0,2.5,0.39,5.2,0.19,0.28,8.36,41.5,0.81,25.3,4.3,0.29,327,Lunch,Pakistani,Lunch
"Tesco 2 Plain Naan, 1 naan",188.0,30.8,0.0,4.8,4.8,0.0,58.9,0.08,6.5,0.04,0.39,1.17,36.7,0.53,15.6,17.4,0.55,79,Breakfast,Pakistani,Breakfast
"Woolworth Select Take Away Lamb Rogan Josh, 200 g",93.2,3.2,0.0,4.4,9.6,0.0,8.1,0.39,2.9,0.1,0.07,6.43,12.3,0.23,75.7,2.4,1.19,225,Dinner,Global,Dinner
"Chicken Tikka Masala, 1 tray",210.0,11.2,0.0,6.0,7.6,0.0,6.6,0.16,5.1,0.13,0.07,4.26,8.1,1.24,1.2,22.9,1.06,182,Dinner,Pakistani,Dinner
"Food Lamb Madras Curry, 0.25 cup",27.2,1.2,0.0,1.6,2.4,0.0,102.4,0.42,1.4,0.05,0.6,3.53,3.9,0.54,68.3,3.3,1.07,352,Dinner,Pakistani,Dinner
"Tea, 960 ml",113.6,13.2,0.0,4.8,4.8,0.0,12.3,0.03,9.6,0.1,0.32,0.4,6.9,0.51,194.1,27.3,0.16,304,Lunch,Pakistani,Lunch
"Tesco Chicken Tikka Masala and Pilau Rice, 1 pack",354.4,34.0,0.0,14.8,18.4,0.0,0.0,0.03,2.2,0.03,0.34,1.0,9.0,0.13,73.9,18.0,0.6,73,Dinner,Pakistani,Dinner
"Snack Veg Puff (Aloo Patty), 1 piece",111.2,15.2,0.0,4.8,2.4,0.0,0.0,0.31,1.3,0.11,0.18,16.55,25.7,0.64,140.8,4.8,0.66,10,Dinner,Pakistani,Lunch
"Nan Bread, 1.5 piece (3 oz)",138.0,26.4,0.0,1.2,4.4,0.0,0.0,0.21,2.3,0.01,0.7,4.27,35.9,0.3,162.4,23.5,0.59,100,Dinner,Pakistani,Lunch
"Butter Chicken ( Buffet), 0.38 cup",57.6,1.2,0.0,4.4,3.6,0.0,21.1,0.08,2.4,0.03,0.78,4.04,23.4,0.27,81.0,8.5,0.56,156,Dinner,Global,Dinner
"Pan Fried Rohu Fish, 50 gms",25.6,0.0,0.0,0.8,3.6,0.0,36.1,0.13,8.0,0.01,0.82,8.58,31.8,0.32,121.5,25.4,0.53,187,Dinner,Pakistani,Lunch
"Chicken Korma and Pilau Rice , 1 dish",0.0,0.0,0.0,0.0,0.0,0.0,17.1,0.35,5.4,0.16,0.37,2.65,30.8,2.42,134.5,14.0,0.22,92,Dinner,Pakistani,Lunch
"Tesco Chicken Curry, 383 g",202.4,6.8,0.0,11.6,17.6,0.0,12.1,0.1,4.4,0.08,0.72,3.6,8.3,0.18,84.5,15.0,0.7,81,Dinner,Pakistani,Dinner
"Unisoya Canada Tofu Masala, 1/3 of a pack",60.0,0.8,0.0,3.2,6.8,0.0,24.4,0.24,2.0,0.1,1.14,14.95,54.8,0.19,40.8,11.0,0.42,384,Lunch,Pakistani,Lunch
"Homemade Dahl With Spinach, 1 cups",72.4,8.8,0.0,2.8,4.4,0.0,5.3,0.11,3.1,0.12,0.61,2.23,17.2,0.44,93.1,25.4,0.3,10,Lunch,Pakistani,Lunch
"Chicken Biryani, 0.3 serving",46.8,6.4,0.0,1.6,2.0,0.0,0.0,0.19,0.8,0.12,1.12,12.77,8.3,0.29,325.9,12.5,0.41,216,Dinner,Pakistani,Dinner
"Jalebi, 6 pieces",283.2,49.6,0.0,8.4,3.2,0.0,0.0,0.09,1.8,0.0,0.16,2.56,8.6,1.8,92.1,20.7,0.9,10,Lunch,Pakistani,Lunch
"Atkins Cauliflower With Spices , 0.5 cup",14.0,0.4,0.0,0.8,0.8,0.0,0.0,0.04,3.6,0.23,0.67,14.22,33.0,0.3,78.0,15.9,0.09,326,Dinner,Pakistani,Lunch
"Paratha, 1 paratha",104.0,15.6,0.0,4.0,1.6,0.0,31.3,0.29,0.2,0.17,0.34,7.66,29.8,0.35,146.1,2.0,0.77,192,Breakfast,Pakistani,Breakfast
"Pilau Rice, 0.33 cup cooked",34.0,8.0,0.0,0.8,2.0,0.0,0.0,0.08,5.8,0.11,0.44,19.05,37.0,1.96,136.9,11.2,0.18,279,Dinner,Pakistani,Lunch
"Homemade (Native) Fry Bread, 2.5 "" diameter",59.2,0.8,0.0,1.6,1.2,0.0,13.4,0.23,0.2,0.04,0.35,15.6,18.7,1.19,133.7,10.5,0.41,272,Lunch,Pakistani,Lunch
"Pita Bread (Naan), 2 piece",109.6,15.2,0.0,4.0,2.8,0.0,15.9,0.0,4.0,0.12,0.71,6.23,21.4,1.39,253.2,20.1,0.34,28,Breakfast,Pakistani,Breakfast
"Generic Paper Dosa, 150 gms",100.0,14.0,0.0,6.0,2.0,0.0,25.5,0.05,2.9,0.03,0.11,12.57,8.1,0.48,41.9,20.4,0.02,614,Dinner,Pakistani,Lunch
"Chicken Tikka Masala, 0.7 tray",190.4,1.6,0.0,11.2,5.6,0.0,0.0,0.34,0.9,0.06,1.48,0.54,43.7,0.04,117.2,26.2,0.15,491,Dinner,Pakistani,Dinner
"Generic Buffet Vegetarian, No Dessert, 1.5 large plate",0.0,120.0,0.0,12.0,12.0,0.0,29.0,0.39,5.1,0.11,0.16,0.98,13.1,1.1,134.2,1.3,0.55,311,Lunch,Pakistani,Lunch
"(Generic) Kadhai Chicken, 1 plate",108.4,5.2,0.0,5.6,10.0,0.0,35.0,0.29,1.6,0.12,0.41,3.58,21.8,0.42,33.5,20.4,0.38,322,Dinner,Global,Dinner
"Home Made South Steamed Idli, 2 medium idli",52.0,12.0,0.0,0.0,0.4,0.0,38.1,0.1,2.5,0.0,0.02,1.59,20.6,0.22,220.5,4.8,0.33,154,Breakfast,Pakistani,Breakfast
"Wolfgang Pucks North Chicken Curry, 1 serving(s)",103.6,10.8,0.0,2.8,8.8,0.0,41.0,0.1,3.3,0.14,0.24,12.15,2.1,1.73,303.9,9.1,0.22,438,Dinner,Pakistani,Dinner
"Happy Herbivore Red Lentil Soup, 2 cups",134.8,22.0,0.0,1.6,8.8,0.0,0.0,0.14,4.7,0.04,0.3,6.18,14.1,0.79,244.0,4.0,0.79,187,Lunch,Pakistani,Lunch
"Food Vegetable Balti, 1 portion",116.0,0.0,0.0,0.0,0.0,0.0,15.0,0.29,0.8,0.11,0.3,13.66,53.7,2.04,71.0,8.9,0.51,270,Lunch,Pakistani,Lunch
"Pressure Cooker Curry Lamb Spareribs, 1 serving(s)",257.6,3.2,0.0,20.0,16.0,0.0,4.7,0.04,4.9,0.02,0.18,19.45,2.1,0.78,118.7,21.5,1.41,140,Lunch,Pakistani,Lunch
"Green Beans Curry With Lentils and Coconut South ., 200 gms",53.2,12.0,0.0,2.8,3.2,0.0,30.5,0.57,4.9,0.01,0.5,17.09,35.5,1.01,205.3,21.4,0.95,317,Dinner,Pakistani,Dinner
"Moong Dal Cooked, 0.5 cup",42.4,8.0,0.0,0.0,3.2,0.0,46.2,0.04,3.8,0.01,0.21,14.28,19.8,0.64,11.2,18.0,0.66,544,Dinner,Pakistani,Lunch
Chicken Crepes,174.0,10.4,0.0,10.4,9.2,0.0,17.5,0.52,1.5,0.08,0.5,3.37,3.8,0.76,205.9,3.8,0.45,114,Dinner,Pakistani,Dinner
"Home Made Rajma Kidney Bean Curry, 4 cup cooked",248.0,48.0,0.0,5.6,17.6,0.0,0.0,0.28,9.8,0.04,0.08,20.31,21.2,1.16,155.2,8.0,0.01,326,Dinner,Pakistani,Dinner
"Pilau Rice, 37.5 g",20.4,2.4,0.0,0.4,0.4,0.0,0.0,0.37,5.3,0.04,1.12,9.2,23.1,0.05,116.4,13.9,0.3,272,Lunch,Pakistani,Lunch
"Summer Snack Mix Rice crackers/peanut mix, 1/4 cup",51.6,7.6,0.0,1.6,1.6,0.0,7.5,0.42,3.7,0.1,0.48,5.98,31.1,1.66,135.7,17.7,0.36,436,Dinner,Pakistani,Lunch
"Sainsbury's Mango Chutney, 1/4 pot",40.4,0.0,0.0,0.0,0.0,0.0,8.8,0.09,6.6,0.02,0.62,5.03,3.8,0.91,83.8,7.4,0.23,334,Lunch,Pakistani,Lunch
"Beans and Potato, 1.5 katori",64.4,0.0,0.0,0.0,0.0,0.0,0.0,0.19,2.0,0.07,0.95,10.27,9.5,0.62,196.7,4.3,0.3,117,Dinner,Pakistani,Lunch
"Plain Boiled Rice, 100 gms",44.4,11.6,0.0,0.0,0.0,0.0,63.9,0.33,0.9,0.11,0.9,10.75,16.5,0.08,175.9,15.1,0.76,315,Lunch,Global,Lunch
"Home Made Sev Usal ( Food), 1.13 bowl",187.2,26.0,0.0,5.2,4.0,0.0,49.5,0.24,12.4,0.02,1.07,3.48,1.3,0.21,94.4,15.4,0.61,133,Dinner,Pakistani,Lunch
"ARAMARK Canada on Campus Peas & Carrots , 59 mL",17.6,2.8,0.0,0.8,0.8,0.0,61.8,0.29,2.2,0.06,0.51,8.73,8.6,0.73,151.9,17.2,0.21,456,Lunch,Global,Lunch
"Innocent Tasty Veg Pot Daal Curry, 190 g",64.0,7.6,0.0,2.0,2.4,0.0,16.7,0.41,10.4,0.0,0.74,1.11,10.7,1.31,172.2,0.6,0.99,427,Dinner,Pakistani,Dinner
"Oh She Glows Lentil-cauliflower Soup, 1.5 cups",84.0,13.6,0.0,2.4,2.8,0.0,24.8,0.25,0.8,0.02,0.19,13.23,28.6,0.3,181.7,10.8,0.86,10,Dinner,Pakistani,Lunch
"Homemade Idli South Rice Cake Idli, 2 idli",48.0,12.0,0.0,0.0,0.8,0.0,0.0,0.43,0.3,0.08,0.18,6.27,16.9,0.43,199.7,8.0,0.22,155,Breakfast,Pakistani,Breakfast
"Home Made Soya Chunks/ Nutrela Sabji With Onion Tomato & Spices, 1.5 cup",141.2,22.8,0.0,3.2,24.8,0.0,0.0,0.13,0.4,0.26,0.39,5.8,40.8,0.79,99.3,10.4,0.37,214,Lunch,Pakistani,Lunch
"Ashirwaad Multigrain Atta Roti, 30 gm",44.0,8.8,0.0,0.4,1.6,0.0,32.0,0.18,2.4,0.15,0.66,4.96,40.0,1.72,287.1,10.9,0.84,64,Lunch,Pakistani,Lunch
"Egg Fried Rice, 1 cup cooked",160.4,15.2,0.0,9.6,4.0,0.0,0.0,0.58,1.0,0.07,0.64,6.46,18.8,0.89,312.3,11.5,0.48,377,Breakfast,Pakistani,Breakfast
"Mccormick Slow Cookers Mild Beef Curry , 50 g",28.0,0.8,0.0,1.6,3.2,0.0,29.2,0.03,10.2,0.06,0.35,6.04,13.4,0.86,145.7,15.4,1.05,288,Dinner,Pakistani,Dinner
"Prawn Biryani, 100 g",53.2,0.0,0.0,0.0,0.0,0.0,45.7,0.05,5.0,0.12,0.05,15.26,11.2,0.7,106.2,12.1,0.04,10,Dinner,Pakistani,Dinner
"Baingan Bhartha Eggplant Curry Eggplant Curry , 0.25 cup",29.2,3.2,0.0,1.6,0.8,0.0,0.0,0.23,1.2,0.08,1.02,11.6,2.2,2.4,198.5,9.4,0.6,563,Breakfast,Pakistani,Breakfast
Mix Sabzi,109.6,2.8,0.0,11.2,0.8,0.0,70.7,0.69,8.9,0.11,0.5,14.53,34.0,0.82,188.3,11.5,0.1,177,Lunch,Pakistani,Lunch
"Spinach Curry (Saag), 100 g",179.2,7.2,0.0,12.8,7.6,0.0,0.0,0.02,2.9,0.19,0.66,14.21,9.7,1.35,41.4,10.2,0.62,74,Dinner,Pakistani,Dinner
"Kadi Homemade Soup, 1 bowl",67.6,8.8,0.0,2.4,3.6,0.0,0.0,0.26,6.0,0.09,0.19,7.02,20.6,1.69,130.0,8.6,0.45,301,Dinner,Pakistani,Lunch
"Lamb Meatballs, 6 meatballs",81.6,2.0,0.0,27.6,4.4,0.0,0.0,0.07,5.0,0.22,0.42,5.43,3.0,1.32,96.4,22.0,0.13,261,Dinner,Pakistani,Dinner
"Home Made Rajma Kidney Bean Curry, 2 cup cooked",124.0,24.0,0.0,2.8,8.8,0.0,0.0,0.26,5.2,0.09,0.11,0.2,16.1,0.48,197.1,29.7,0.18,14,Dinner,Pakistani,Dinner
"Sunergia More Than Tofu Masala Tofu, 2 oz",32.0,1.2,0.0,1.6,3.2,0.0,0.0,0.53,10.4,0.01,0.48,17.78,5.5,0.44,73.5,3.9,0.14,36,Dinner,Pakistani,Lunch
"Naan Flat Bread, 1/2 Naan (60g)",72.0,11.6,0.0,2.0,2.0,0.0,17.0,0.11,3.7,0.13,0.8,5.24,45.7,0.37,253.8,15.4,0.12,211,Breakfast,Pakistani,Breakfast
"Lamb Vindaloo, 2 cups",285.2,3.2,0.0,23.2,18.0,0.0,26.2,0.02,2.8,0.09,0.14,7.54,3.4,1.59,207.3,16.9,0.04,172,Dinner,Pakistani,Lunch
"Rice Basmati Rice, 1/2 cup/50g",70.0,15.6,0.0,0.4,1.6,0.0,79.6,0.28,3.0,0.02,0.27,0.02,32.7,1.37,57.1,1.4,0.33,296,Dinner,Pakistani,Lunch
"Celebrity Slim Mild Curry Flavour Soup, 55 g",88.4,10.8,0.0,1.6,6.4,0.0,21.7,0.7,2.0,0.13,0.24,0.51,38.0,0.37,141.4,14.6,0.13,368,Dinner,Pakistani,Dinner
"Homemade Sambar, 0.12 cup (cooked)",14.8,2.8,0.0,0.4,0.8,0.0,26.1,0.02,2.1,0.05,0.74,6.25,14.4,1.25,231.2,16.5,0.4,23,Lunch,Pakistani,Lunch
"Homemade Channa Dal, 1.6 katori",92.8,8.4,0.0,4.4,3.2,0.0,0.0,0.16,2.3,0.1,0.16,6.37,16.6,0.98,44.9,10.8,0.08,309,Dinner,Pakistani,Lunch
"Cooked at Home Kadhai Chicken, 1 balti dish",157.6,0.0,0.0,0.0,0.0,0.0,3.6,0.5,2.7,0.02,0.11,1.52,5.3,0.74,132.8,12.0,0.57,398,Dinner,Pakistani,Dinner
Shepherd's Pie Recipe,267.6,24.8,0.0,14.0,11.6,0.0,0.0,0.39,4.8,0.03,0.39,16.52,28.5,1.21,73.9,8.7,0.18,278,Dinner,Pakistani,Lunch
"Dawaat Buffet, 3 plate",0.0,48.0,0.0,24.0,48.0,0.0,9.5,0.32,2.6,0.05,0.8,0.09,14.3,0.15,84.5,4.9,0.33,476,Lunch,Pakistani,Lunch
"Cheese Naan, 0.5 Serving",66.4,10.0,0.0,2.0,3.2,0.0,54.1,0.16,1.3,0.15,0.1,19.76,31.9,0.21,292.6,7.2,0.7,264,Breakfast,Pakistani,Breakfast
"Homemade Fry Bread, 0.25 Piece--10.5 "" diameter",52.8,8.4,0.0,1.6,1.2,0.0,11.0,0.05,4.3,0.02,1.21,2.87,5.9,0.75,12.2,4.2,0.88,121,Lunch,Pakistani,Lunch
"Chicken Korma, 0.88 tray",0.0,0.0,0.0,0.0,0.0,0.0,45.6,0.34,7.0,0.03,0.51,16.51,6.9,0.4,226.3,16.4,0.58,544,Dinner,Pakistani,Dinner
"Home Made Rajma Kidney Bean Curry, 2.5 cup cooked",155.2,30.0,0.0,3.6,11.2,0.0,11.7,0.25,9.6,0.1,0.47,12.23,5.9,0.07,36.4,3.7,1.22,54,Dinner,Pakistani,Dinner
"Poppadum, 1.5 poppadum",45.2,0.0,0.0,0.0,0.0,0.0,19.2,0.36,6.3,0.01,0.12,4.33,8.8,1.89,159.3,17.9,0.67,396,Lunch,Global,Lunch
Mango Jam,19.2,4.8,0.0,0.4,0.4,0.0,22.0,0.07,0.6,0.11,0.82,1.71,22.7,1.96,139.3,32.8,0.63,10,Lunch,Global,Lunch
"Garlic Naan Bread, 2 Piece",128.0,22.4,0.0,2.4,3.2,0.0,48.7,0.33,1.3,0.07,0.1,7.01,0.5,1.07,253.6,15.2,0.08,286,Breakfast,Pakistani,Breakfast
"Chicken Madras, 1 serving 200g",160.0,19.2,0.0,8.0,12.0,0.0,0.0,0.15,5.6,0.18,0.08,27.08,0.9,0.75,243.4,28.0,1.22,401,Dinner,Pakistani,Dinner
"Morrisons Diet Tonic Water, 250 ml",1.6,0.0,0.0,0.0,0.0,0.0,33.4,0.09,2.1,0.05,0.11,3.03,32.4,1.36,127.1,23.8,0.06,190,Dinner,Pakistani,Lunch
"Tandoori Chicken Tikka, 8.13 pieces (90g)",121.6,5.2,0.0,2.0,20.8,0.0,7.5,0.18,9.6,0.11,0.31,20.04,45.5,1.07,101.9,4.3,0.25,383,Dinner,Pakistani,Lunch
"Tandoori King Prawns 6 With Onions, 1 portion",80.0,6.0,0.0,4.0,8.0,0.0,0.0,0.02,2.7,0.13,0.36,0.02,3.3,0.68,161.1,7.7,0.07,10,Dinner,Pakistani,Dinner
"Keema Naan, 1 naan",340.0,46.8,0.0,12.0,10.8,0.0,59.8,0.11,1.0,0.1,0.3,4.52,34.2,1.58,112.0,10.4,0.05,95,Breakfast,Pakistani,Breakfast
"Kheer Rice Pudding, 6 oz.",80.0,26.8,0.0,4.4,4.0,0.0,37.4,0.04,9.5,0.02,0.19,5.97,45.6,1.31,178.9,9.7,0.43,297,Dinner,Pakistani,Lunch
"Sparkpeople Vegetarian Stew, 1.25 cups",81.6,16.4,0.0,0.8,2.8,0.0,33.8,0.05,3.5,0.09,0.43,1.14,25.4,1.53,61.2,5.5,0.48,392,Dinner,Pakistani,Lunch
"Homemade Channa Dal, 1.25 katori",72.4,6.4,0.0,3.6,2.4,0.0,22.9,0.34,2.9,0.01,0.21,2.36,11.8,1.74,154.9,19.2,0.55,68,Lunch,Pakistani,Lunch
"Spicy Dahl, 1 serving(s)",90.8,13.6,0.0,2.4,4.4,0.0,10.6,0.05,1.1,0.19,0.12,6.49,2.9,0.16,129.8,25.0,0.53,182,Lunch,Pakistani,Lunch
"Iceland Platter Onion Bhaji, 2 bhaji",22.4,2.0,0.0,1.2,0.8,0.0,36.5,0.18,1.1,0.37,0.35,6.02,4.3,1.52,129.1,0.5,0.77,119,Lunch,Pakistani,Lunch
"'' Chicken Bhuna , 0.85 Portion",163.2,5.6,0.0,4.0,13.6,0.0,0.0,0.46,2.3,0.14,0.44,6.96,1.1,1.42,93.2,8.8,0.02,283,Lunch,Pakistani,Lunch
"Cuisine Mutton Handi Lamb Dish, 1 plate",119.6,2.4,0.0,6.8,12.8,0.0,10.7,0.48,1.6,0.1,0.33,5.78,10.3,1.39,215.0,32.7,0.63,268,Lunch,Pakistani,Lunch
Easy Tom Kha Gai,141.6,7.2,0.0,10.4,6.4,0.0,20.2,0.14,2.8,0.18,0.3,12.9,47.9,0.51,49.7,7.1,0.92,216,Lunch,Pakistani,Lunch
"Generic Khichri, 1.5 cup cooked",120.0,16.8,0.0,5.6,2.4,0.0,35.2,0.31,0.8,0.01,0.0,7.72,55.4,0.34,217.4,24.2,0.8,155,Lunch,Pakistani,Lunch
Mutton Leg Roast (Raan),154.0,1.6,0.0,8.0,18.0,0.0,0.0,0.06,4.6,0.07,0.38,6.39,30.9,1.49,152.8,10.1,0.67,504,Dinner,Pakistani,Dinner
"Homemade Chai Half Water Half Skim Milk , 0.75 mug",18.0,2.4,0.0,0.0,1.2,0.0,43.2,0.18,8.9,0.13,0.07,0.59,23.3,0.75,176.8,8.5,0.61,181,Breakfast,Pakistani,Breakfast
"Homemade Aloo Paratha , 32 gms mashed potatoes, 1/4 cup wheat flr",52.0,8.4,0.0,1.6,1.2,0.0,0.0,0.42,0.7,0.13,0.38,19.88,9.4,0.32,178.4,9.6,0.72,10,Breakfast,Pakistani,Breakfast
"Marks & Spencer Modern Black Dahl, 0.33 bowl",66.8,0.0,0.0,4.8,0.0,0.0,38.5,0.54,1.5,0.03,0.24,13.12,8.2,0.79,198.0,16.0,0.48,370,Dinner,Pakistani,Lunch
"Home Made Aubergine Curry, 1 Serving",80.0,4.8,0.0,1.6,3.2,0.0,0.0,0.17,4.6,0.19,0.13,11.03,55.3,1.65,251.2,17.9,0.43,10,Dinner,Pakistani,Dinner
"Tesco 2 Plain Naan, 0.5 naan",94.0,15.2,0.0,2.4,2.4,0.0,75.1,0.16,2.6,0.11,0.22,18.45,0.6,0.76,60.6,1.4,0.16,214,Breakfast,Pakistani,Breakfast
"Tesco My Fit Lifestyle Spiced Tuna Kedgeree Salad, 420 g",190.0,23.2,0.0,4.4,12.0,0.0,0.0,0.18,1.5,0.13,0.24,13.08,7.3,0.0,145.5,22.7,0.35,237,Dinner,Pakistani,Lunch
"Tesco Chicken Jalfrezi, 1 pack",162.4,6.8,0.0,7.6,14.4,0.0,16.4,0.05,0.4,0.03,0.74,1.71,62.5,0.55,63.3,0.1,0.32,10,Dinner,Pakistani,Lunch
"Store Jalebi, 0.25 pieces",11.6,2.0,0.0,0.4,0.0,0.0,0.0,0.38,0.4,0.06,1.01,10.47,8.3,0.11,52.1,6.2,0.32,71,Lunch,Pakistani,Lunch
