Food Name,Calories,Carbohydrates (g),Sugars (g),Fat (g),Protein (g),Fiber (g),Vitamin_A_µg,Vitamin_B_complex_mg,Vitamin_C_mg,Vitamin_D_µg,Vitamin_E_mg,Vitamin_K_µg,Calcium_mg,Iron_mg,Potassium_mg,Magnesium_mg,Zinc_mg,Sodium_mg,Category,Cuisine,Meal_Type
"Gourmet Spinach Pakora, 2 pieces (130g)",40.0,3.6,0.0,2.4,1.2,0.0,0.0,0.06,4.4,0.1,0.47,1.05,11.9,0.86,126.9,5.8,0.31,92,Snack,Pakistani,Snack
"Samosa Vegetable Samosa, 3 samosa",187.2,14.4,0.0,14.4,2.4,0.0,48.4,0.55,3.9,0.09,0.17,13.74,42.4,0.1,14.5,10.4,0.08,210,Snack,Pakistani,Snack
"Asda Snacks Vegetable Samosa, 1 Samosa",46.8,5.2,0.0,1.2,0.8,0.0,9.5,0.15,1.8,0.04,0.37,15.81,42.0,0.45,169.8,22.6,0.55,383,Snack,Global,Snack
"Moong Daal Dahi Vada, 2 pieces",56.0,4.4,0.0,3.2,2.0,0.0,17.2,0.03,3.9,0.03,1.08,17.23,18.4,0.48,114.1,8.4,0.48,106,Snack,Pakistani,Snack
"Homemade Black Chana Masala, 2 serving",80.8,12.8,0.0,2.4,3.6,0.0,28.9,0.04,6.5,0.01,0.33,9.7,14.2,0.96,78.7,10.4,0.32,108,Snack,Pakistani,Snack
"Food Chana Shag, 1 cup cooked",94.0,12.4,0.0,3.6,4.0,0.0,0.0,0.24,5.0,0.01,0.01,7.77,14.2,0.08,165.9,2.3,0.26,265,Snack,Pakistani,Snack
"Boti Lamb Kebab, 1 serving 50 grams",186.4,23.6,0.0,3.6,14.4,0.0,51.1,0.34,3.4,0.05,0.22,14.0,34.5,0.57,86.6,4.2,0.03,506,Snack,Pakistani,Snack
"Haldiram's Classic Soan Papdi Premium 500g Pack, 1 pc = 26 g",58.0,6.0,0.0,3.2,1.2,0.0,0.0,0.19,2.1,0.06,0.33,3.63,34.6,0.26,152.6,16.4,0.58,96,Snack,Pakistani,Snack
"night (chx tikka, rice, pakora), 1 serving(s)",260.8,43.2,0.0,4.0,11.2,0.0,0.0,0.28,2.3,0.06,0.43,16.43,5.4,0.5,88.2,2.5,0.24,260,Snack,Pakistani,Snack
"Neha's Inspired Frozen Yoghurt Mango & Honey Lassi, 90 g",75.6,8.4,0.0,4.0,1.2,0.0,8.1,0.25,0.5,0.19,0.1,3.82,43.7,0.02,244.7,0.2,1.05,164,Snack,Pakistani,Snack
"Pakoras Vegetable Fritters, 4 fritters",56.4,4.0,0.0,4.4,1.2,0.0,91.0,0.12,5.4,0.07,0.58,3.49,26.8,0.08,12.9,16.0,0.43,172,Snack,Pakistani,Snack
"Chicken Chaat, 211 g",150.4,2.0,0.0,16.0,0.0,0.0,68.5,0.41,1.3,0.05,0.18,14.32,8.5,0.15,42.9,12.4,0.3,10,Snack,Pakistani,Snack
"Deep Gourmet Pakora Spinach, 2.5 pieces",50.0,4.4,0.0,3.2,1.6,0.0,20.5,0.03,2.5,0.0,0.69,20.8,20.7,0.15,75.8,17.6,0.87,179,Snack,Pakistani,Snack
"Homemade Meal With Salt Chana Dal Cooked, 1/2 cup cooked",140.0,24.0,0.0,4.8,8.8,0.0,35.6,0.05,9.3,0.05,0.1,1.49,35.2,0.13,60.1,10.2,0.07,493,Snack,Pakistani,Snack
"Fitness raw nuts almonds, hazelnut, cashew, 30 g",70.0,2.8,0.0,7.6,2.4,0.0,9.8,0.23,0.6,0.18,0.41,14.6,9.6,1.35,250.8,30.5,0.04,181,Snack,Pakistani,Snack
"Samosa Chaat, 106.72 g",65.6,11.2,0.0,2.0,2.8,0.0,38.5,0.31,1.0,0.03,0.46,14.23,18.2,0.22,40.6,0.4,0.67,306,Snack,Pakistani,Snack
"Deep Gourme Jumbo Punjabi Jumbo Samosa, 1 piece",76.0,8.4,0.0,4.0,1.6,0.0,0.0,0.2,2.7,0.34,0.11,9.8,21.8,1.06,112.6,12.1,0.72,366,Snack,Pakistani,Snack
"Mango Lassi, 2 cup",110.4,24.4,0.0,0.8,3.2,0.0,0.0,0.03,3.5,0.08,0.01,8.45,28.7,2.04,15.9,2.8,0.35,222,Snack,Pakistani,Snack
"Samosa Vegetable Samosa, 0.3 samosa",18.8,1.6,0.0,1.6,0.4,0.0,43.1,0.23,5.1,0.13,0.32,8.83,32.3,0.85,25.0,8.8,0.61,233,Snack,Global,Snack
"Chana Masala, 0.5 cup (275g)",92.0,15.6,0.0,2.0,2.4,0.0,0.0,0.19,1.3,0.07,0.47,1.66,62.5,1.42,251.5,15.1,0.87,111,Snack,Pakistani,Snack
"Homemade Kala Chana, 0.5 cup",32.8,5.6,0.0,0.4,1.6,0.0,5.9,0.32,1.5,0.24,0.67,2.45,25.6,1.41,143.8,13.1,0.29,204,Snack,Pakistani,Snack
"Sitar Cuisine Chana Masala (Chick Peas), 2 oz",23.2,2.8,0.0,1.2,0.8,0.0,26.1,0.33,6.5,0.15,0.08,2.08,80.9,0.84,89.1,5.6,0.96,18,Snack,Pakistani,Snack
"Dahi Ki Kadhi (Yoghurt Curry), 0.4 cup",21.2,2.0,0.0,1.2,0.8,0.0,19.9,0.04,0.2,0.1,0.46,14.87,27.9,0.85,85.0,13.5,0.58,205,Snack,Pakistani,Snack
"Vegetable Seekh Kebabs, 1 kebab",28.0,4.0,0.0,0.8,1.6,0.0,29.8,0.19,2.1,0.03,0.49,6.1,53.5,1.6,65.1,18.6,0.02,324,Snack,Pakistani,Snack
"Homemade Kala Chana, 2 cup",131.2,22.0,0.0,2.0,7.2,0.0,69.8,0.57,2.3,0.11,0.57,4.47,22.4,0.59,106.2,8.5,0.58,107,Snack,Pakistani,Snack
Chicken Pakora,175.6,8.8,0.0,10.8,10.4,0.0,41.8,0.11,10.8,0.01,0.22,8.37,4.1,0.07,81.8,11.6,0.94,10,Snack,Pakistani,Snack
"Neha's Inspired Frozen Yoghurt Mango & Honey Lassi, 100 g",84.0,9.6,0.0,4.4,1.2,0.0,0.0,0.41,7.0,0.1,0.04,10.21,20.1,0.65,123.2,0.6,0.58,81,Snack,Pakistani,Snack
"Chicken Chaat Drumstick (Tandori or Jatt Patt), 1 Leg (no skin)",34.0,0.0,0.0,1.6,5.2,0.0,0.0,0.28,2.0,0.0,0.2,5.82,83.0,1.28,208.1,15.9,0.24,279,Snack,Pakistani,Snack
"Homemade Kala Chana, 1.3 cup",85.2,14.4,0.0,1.2,4.4,0.0,15.7,0.03,1.0,0.12,0.52,1.2,20.4,0.06,176.3,11.4,0.29,165,Snack,Pakistani,Snack
"Sitar Cuisine Chana Masala (Chick Peas), 1 oz",11.6,1.2,0.0,0.4,0.4,0.0,19.8,0.03,10.3,0.26,0.18,3.54,10.7,1.17,222.2,16.6,0.44,444,Snack,Pakistani,Snack
"Take Away Chicken Pakora, 0.2 piece",7.6,0.4,0.0,0.4,0.8,0.0,43.2,0.28,2.8,0.14,0.68,11.19,7.2,0.47,38.9,14.7,0.31,221,Snack,Global,Snack
"Quorn Meat Free Samosa, 1 samosa",21.6,2.4,0.0,1.2,0.8,0.0,0.0,0.32,6.1,0.08,0.12,5.84,21.2,0.23,206.8,11.8,0.65,469,Snack,Pakistani,Snack
"Noga Delite Dahi Whole Milk Plain Yogurt, 0.25 Cup",15.2,1.2,0.0,0.8,0.8,0.0,0.0,0.8,10.7,0.12,0.18,0.36,16.4,1.61,141.0,5.7,0.21,388,Snack,Pakistani,Snack
"Moong Daal Dahi Vada, 0.25 pieces",7.2,0.4,0.0,0.4,0.4,0.0,111.3,0.34,0.0,0.06,0.74,8.75,32.9,1.74,209.7,13.8,0.27,260,Snack,Pakistani,Snack
"Homemade Dahi Bhalla / Bhalle, 1.5 cup (160g)",105.2,12.0,0.0,4.8,3.2,0.0,29.7,0.25,4.6,0.01,0.64,5.02,44.2,0.91,250.1,13.9,0.25,82,Snack,Pakistani,Snack
"Tesco 12 Snack Selection (Mini Vegetable Pakoras), 2 pakora",60.0,3.2,0.0,4.4,0.0,0.0,46.6,0.17,1.9,0.05,0.55,8.77,32.3,1.87,56.8,17.5,0.29,398,Snack,Pakistani,Snack
"Asda Snacks Vegetable Pakora, 1 container (2 pakoras ea.)",98.8,10.0,0.0,5.2,2.4,0.0,23.6,0.07,9.1,0.11,0.15,8.7,13.2,0.37,154.8,6.1,0.26,238,Snack,Pakistani,Snack
"Take Away Chicken Pakora, 10 piece",380.0,20.0,0.0,16.0,44.0,0.0,0.0,0.14,0.8,0.0,0.06,5.67,31.5,0.79,199.6,16.6,0.28,150,Snack,Pakistani,Snack
"Deep Gourmet Potato Cocktail Samosas, 5 pieces (42 g)",30.0,6.0,0.0,0.4,0.4,0.0,28.9,0.03,7.5,0.01,0.83,3.83,10.7,0.23,172.4,8.9,0.31,270,Snack,Pakistani,Snack
"Sainsbury's Vegetable Samosas, 2 Samosa (50g)",88.8,0.0,0.0,4.4,0.0,0.0,21.5,0.44,8.0,0.08,0.25,2.63,22.2,0.45,195.1,0.2,0.2,247,Snack,Pakistani,Snack
"Mango Lassi, 0.38 cup",20.8,4.4,0.0,0.0,0.4,0.0,13.9,0.01,4.1,0.13,0.47,16.18,39.9,1.35,186.4,15.0,0.49,374,Snack,Pakistani,Snack
"Tesco 12 Snack Selection (Mini Vegetable Samosas), 2 samosa",60.0,7.2,0.0,2.8,1.2,0.0,27.9,0.37,10.0,0.05,0.69,1.0,20.2,0.48,267.8,21.5,0.32,159,Snack,Pakistani,Snack
"Curd Dahi, 0.2 small bowl 50gm",5.2,0.4,0.0,0.4,0.4,0.0,0.0,0.4,4.4,0.02,0.36,4.24,49.6,0.14,232.7,11.0,0.67,331,Snack,Pakistani,Snack
"M&s Modern Kebab and Samosa Selection, 3 pieces",58.0,3.6,0.0,3.2,4.0,0.0,19.4,0.24,7.6,0.12,0.3,16.68,25.5,1.64,168.6,2.7,0.92,240,Snack,Pakistani,Snack
"Food Aloo Samosa Pastry With Potato Filling, 1.2 oz",18.0,1.6,0.0,1.6,0.0,0.0,27.8,0.08,0.4,0.07,0.25,1.74,3.8,0.36,180.2,1.0,0.21,278,Snack,Pakistani,Snack
"Samosa Vegetable Samosa, 1 samosa",100.0,6.0,0.0,3.2,0.8,0.0,109.2,0.0,6.1,0.08,0.28,11.27,36.8,0.44,74.9,6.4,0.55,388,Snack,Pakistani,Snack
"Samosa Chaat, 156 g",96.0,16.0,0.0,3.2,4.0,0.0,0.0,0.04,0.3,0.01,1.28,12.05,40.6,1.53,40.1,2.2,0.04,420,Snack,Pakistani,Snack
"Sainsbury's Vegetable Samosas, 1 Samosa (50g)",44.4,0.0,0.0,2.4,0.0,0.0,30.4,0.48,3.6,0.05,1.15,12.11,12.7,1.97,123.7,10.1,0.08,287,Snack,Pakistani,Snack
"Chana Masala (Savory Chick Peas) Recipe, 1 serving(s)",92.0,12.0,0.0,4.0,3.2,0.0,40.5,0.06,1.1,0.13,0.11,6.75,20.7,1.49,26.5,10.8,0.29,161,Snack,Pakistani,Snack
"Dahi, 1.5 tbsp(s)",8.4,0.4,0.0,0.4,0.8,0.0,10.3,0.06,0.4,0.09,0.53,0.38,17.8,0.17,191.7,9.9,0.87,298,Snack,Global,Snack
"Amy's Organic Samosa Wrap, 1 wrap",100.0,14.0,0.0,3.6,3.2,0.0,0.0,0.36,9.9,0.14,0.73,0.69,28.6,0.24,99.3,8.0,0.42,286,Snack,Pakistani,Snack
"Asda Snacks Vegetable Pakora, 1 Pakora",49.6,5.2,0.0,2.4,1.2,0.0,0.0,0.1,2.2,0.17,0.08,6.63,22.3,0.64,194.4,6.7,0.17,218,Snack,Pakistani,Snack
"Schweppes Diet Tonic Water Classic Mixers, 0.5 container (750 mls ea.)",4.4,0.0,0.0,0.0,0.0,0.0,30.6,0.12,10.5,0.12,0.36,8.98,32.2,0.32,193.4,21.7,0.14,338,Snack,Pakistani,Snack
"Asda Chosen by You Bhaji & Samosa Selection, 1 bhaji or samosa",41.2,4.0,0.0,2.4,0.8,0.0,0.0,0.16,3.2,0.02,0.35,15.31,14.8,1.38,166.8,12.5,0.59,215,Snack,Pakistani,Snack
"Samosa (Potato-filled), 0.5 piece",61.6,6.4,0.0,3.6,0.8,0.0,15.5,0.15,4.8,0.02,0.7,1.03,4.5,0.62,132.7,14.6,0.19,290,Snack,Pakistani,Snack
"Shami Kebab Lamb/ Mutton, 65.9 grams ( 1 pcs)",75.2,4.0,0.0,3.6,6.0,0.0,13.0,0.05,6.2,0.0,0.15,15.33,25.3,0.61,14.0,28.8,0.42,99,Snack,Pakistani,Snack
"Take Away Chicken Pakora, 6 piece",228.0,12.0,0.0,9.6,26.4,0.0,23.0,0.12,5.2,0.05,0.19,4.94,61.9,0.68,167.9,4.2,0.71,141,Snack,Pakistani,Snack
"Iceland Platter Vegetable Pakora, 2 vegetable pakora",24.8,2.4,0.0,1.2,0.8,0.0,52.6,0.0,5.1,0.21,0.11,9.79,13.3,1.18,147.0,15.6,1.07,190,Snack,Pakistani,Snack
"Asda Snacks Vegetable Pakora, 2 Pakora",31.2,3.6,0.0,1.2,0.8,0.0,42.3,0.38,14.7,0.22,0.06,13.01,4.8,0.16,156.1,2.6,0.37,345,Snack,Pakistani,Snack
"Curd Dahi, 0.5 small bowl 100gm",12.0,0.0,0.0,0.0,0.0,0.0,19.6,0.18,1.0,0.19,0.47,3.8,19.4,0.2,190.0,9.5,0.32,212,Snack,Pakistani,Snack
"Aloo Papri Chaat, 0.5 Plate",168.8,29.6,0.0,4.0,5.6,0.0,0.0,0.3,3.8,0.19,0.21,31.2,51.7,0.04,121.6,18.0,0.71,286,Snack,Pakistani,Snack
"Homemade Kala Chana, 1 cup",65.6,10.8,0.0,1.2,3.6,0.0,24.2,0.32,0.0,0.04,0.25,1.83,5.8,0.09,130.9,9.4,0.6,10,Snack,Pakistani,Snack
"Sodexo Roasted Mixed Vegetables, 4 oz (126 grams)",12.0,2.8,0.0,0.0,0.8,0.0,41.5,0.28,6.8,0.11,0.53,21.9,4.9,0.45,58.4,7.0,1.31,361,Snack,Pakistani,Snack
"Kala Chana - Kala Chana Gujarati, 41 g (1 cup)",30.0,6.0,0.0,0.8,1.6,0.0,22.7,0.04,4.9,0.02,0.78,15.12,0.3,0.66,134.7,17.0,0.41,248,Snack,Global,Snack
"Samosa (Potato-filled), 2 piece",246.4,25.6,0.0,14.4,3.6,0.0,48.9,0.33,5.5,0.12,0.12,4.69,12.1,1.62,42.6,11.3,0.86,15,Snack,Pakistani,Snack
"Homemade Kala Chana, 3/4 cup",49.2,8.4,0.0,0.8,2.8,0.0,40.6,0.31,7.1,0.01,0.05,5.98,11.9,0.26,216.7,8.2,0.08,511,Snack,Global,Snack
"Samosa Vegetable Samosa, 1.3 samosa",81.2,6.4,0.0,6.4,1.2,0.0,36.4,0.08,7.3,0.19,0.65,0.14,41.1,3.34,129.2,1.5,0.17,313,Snack,Pakistani,Snack
"Homemade Black Chana Masala, 1 serving",40.4,6.4,0.0,1.2,2.0,0.0,0.0,0.66,1.5,0.12,0.48,5.4,22.1,0.9,141.8,11.6,1.0,23,Snack,Pakistani,Snack
"Chicken Pakora (Reverse Engineered), 235 g",152.0,8.8,0.0,4.4,17.6,0.0,31.0,0.42,1.5,0.14,0.16,8.41,3.3,0.39,81.8,7.2,0.55,325,Snack,Pakistani,Snack
"Tesco Chicken Tikka Samosas, 2 samosa",108.0,10.4,0.0,5.6,3.2,0.0,0.0,0.27,4.1,0.06,0.29,0.24,39.9,1.19,41.4,3.9,0.3,330,Snack,Pakistani,Snack
"Chana Masala, 1.5 cup (275g)",276.0,46.8,0.0,5.6,7.6,0.0,26.7,0.32,1.1,0.24,0.22,4.52,1.2,0.14,158.2,13.7,0.08,10,Snack,Pakistani,Snack
"Sainsbury's Vegetable Samosas, 0.5 Samosa (50g)",22.4,5.2,0.0,1.2,0.4,0.0,0.0,0.07,8.1,0.06,0.74,16.47,19.1,1.29,9.4,15.6,0.93,503,Snack,Pakistani,Snack
"Samosa (Potato-filled), 4 piece",0.0,51.6,0.0,28.4,7.6,0.0,46.1,0.09,3.4,0.07,0.34,11.16,29.0,0.99,202.2,5.8,0.84,10,Snack,Pakistani,Snack
"Chana Masala, 0.25 cup (275g)",46.0,8.0,0.0,0.8,1.2,0.0,0.0,0.27,7.8,0.16,0.53,9.79,22.8,1.13,23.6,3.0,0.76,351,Snack,Pakistani,Snack
"Sheek Kebab, 55 g",56.4,0.0,0.0,0.0,0.0,0.0,0.0,0.33,8.8,0.16,0.5,13.26,6.2,2.16,209.8,0.3,0.38,274,Snack,Pakistani,Snack
"Samosa (Potato-filled), 0.75 piece",92.4,9.6,0.0,5.2,1.6,0.0,0.0,0.06,5.4,0.1,0.84,0.06,23.7,0.22,210.3,7.7,0.41,331,Snack,Pakistani,Snack
"Co-Op Mini Selection Mini Pakora, 2 Pakora",36.0,0.0,0.0,1.2,0.0,0.0,8.1,0.24,4.0,0.08,0.42,2.56,10.9,0.31,241.6,22.1,0.09,140,Snack,Pakistani,Snack
"Iceland Platter Vegetable Samosas, 2 vegetable samosa",28.8,3.6,0.0,1.2,0.8,0.0,13.1,0.25,1.7,0.16,0.35,2.98,27.9,0.06,57.6,15.2,1.01,221,Snack,Pakistani,Snack
"Aloo Chana Chaat, 1 portion",68.0,13.6,0.0,0.8,2.4,0.0,12.9,0.41,0.2,0.08,0.41,11.42,26.9,1.78,74.8,17.0,0.21,247,Snack,Pakistani,Snack
"Dahi Whole Milk Yogurt, 1 cup/(227g",72.0,7.2,0.0,2.8,4.8,0.0,3.9,0.34,12.7,0.18,0.38,8.67,19.7,0.78,162.7,11.3,0.41,383,Snack,Pakistani,Snack
"Samosa Chaat, 266.8 g",164.0,27.6,0.0,5.2,6.8,0.0,17.4,0.11,0.7,0.06,0.05,4.6,42.9,1.14,190.5,20.7,0.51,196,Snack,Global,Snack
"Iceland Platter Vegetable Pakora, 4 vegetable pakora",49.6,4.8,0.0,2.0,1.6,0.0,16.6,0.23,7.4,0.08,0.36,1.94,1.2,0.64,226.4,10.8,0.36,486,Snack,Pakistani,Snack
"Vegetable Samosa, 3 samosa",300.0,18.0,0.0,9.6,2.4,0.0,24.6,0.47,1.3,0.11,0.17,16.92,43.2,1.61,38.7,16.2,0.61,124,Snack,Pakistani,Snack
"Chana Masala, 1 cup (275g)",184.0,31.2,0.0,3.6,5.2,0.0,22.7,0.54,7.0,0.28,0.13,18.26,4.8,0.88,178.6,7.9,0.44,356,Snack,Pakistani,Snack
"Gourmet Spinach Pakora, 6 pieces (130g)",120.0,10.8,0.0,7.2,3.6,0.0,0.0,0.04,2.2,0.06,1.18,8.88,16.0,0.25,80.6,25.5,0.05,308,Snack,Pakistani,Snack
"Traditional Dahi Bhalla, 1.5 piece",39.6,6.8,0.0,0.0,3.2,0.0,0.0,0.43,0.1,0.07,0.34,4.72,0.7,0.74,72.9,15.2,0.11,166,Snack,Pakistani,Snack
"Homemade Kala Chana, 1 1/4 cup",82.0,13.6,0.0,1.2,4.4,0.0,42.9,0.34,0.8,0.12,0.64,0.11,19.6,0.43,112.2,2.1,0.55,261,Snack,Pakistani,Snack
"Vegetable Samosa, 1 samosa",100.0,6.0,0.0,3.2,0.8,0.0,61.9,0.16,3.0,0.01,0.09,14.88,36.1,1.3,70.4,6.0,0.5,10,Snack,Pakistani,Snack
"Food Samosa Meat and Veg, 1 Samosa (35 Grams)",35.2,5.2,0.0,0.8,2.0,0.0,62.4,0.09,7.6,0.17,0.39,9.67,0.9,0.97,251.7,3.2,0.59,300,Snack,Pakistani,Snack
"Homemade Black Chana Masala, 1.5 serving",60.8,9.6,0.0,2.0,2.8,0.0,0.0,0.01,6.7,0.01,0.05,11.14,11.2,0.82,123.4,12.0,0.19,133,Snack,Pakistani,Snack
"Waitrose Good to Go Snack Selection (Two Bhajis, One Samosa, Mango Dip), 1 pack",101.6,13.2,0.0,4.4,1.6,0.0,0.0,0.06,10.1,0.16,0.31,1.84,26.0,0.76,56.6,8.7,1.18,620,Snack,Global,Snack
"Glazed Cauliflower with Ginger Classic Cooking, 1 serving(s)",71.2,4.8,0.0,5.6,1.6,0.0,9.0,0.41,3.4,0.12,0.21,4.23,39.0,0.43,184.8,7.4,0.84,270,Snack,Pakistani,Snack
"Curd Dahi, 1 bowl 100 gm",39.2,1.2,0.0,1.6,4.4,0.0,26.6,0.07,1.8,0.01,0.5,14.4,37.4,1.35,189.7,7.1,0.3,54,Snack,Pakistani,Snack
"Heera Sweets Bhagut's Son Rolls Sweet -Flaky Pastry With Pistachios and Almonds, 1 =30g",60.0,8.8,0.0,2.4,0.8,0.0,13.9,0.31,6.9,0.09,0.86,18.45,25.3,0.23,93.8,11.6,0.51,223,Snack,Global,Snack
"Iceland 60 Piece Selection Vegetable Samosa, 4 Samosa",59.2,6.8,0.0,2.8,1.2,0.0,42.4,0.27,13.0,0.31,0.12,21.68,29.9,0.75,204.9,14.3,0.42,389,Snack,Pakistani,Snack
"Sweets Gulab Jambun, 1 pc cooked",71.2,12.0,0.0,2.4,1.2,0.0,25.1,0.22,6.1,0.03,0.44,12.52,1.3,0.79,31.0,17.6,1.18,33,Snack,Pakistani,Snack
"Curd Dahi, 1 small bowl 100gm",24.0,0.0,0.0,0.0,0.0,0.0,42.6,0.01,4.0,0.32,0.73,7.39,31.9,0.82,1.4,13.3,0.43,84,Snack,Pakistani,Snack
Chicken Samosa,52.8,1.2,0.0,4.4,2.0,0.0,46.1,0.11,0.7,0.05,0.72,1.16,47.1,0.13,188.4,15.6,0.16,226,Snack,Pakistani,Snack
"Morrisons Mini Snack Vegetable Samosa, 1 Samosa",22.0,2.8,0.0,1.2,0.4,0.0,70.3,0.35,1.3,0.11,0.45,14.92,1.6,0.04,78.0,16.6,0.89,34,Snack,Pakistani,Snack
"Sweets Gulab Jambun, 0.5 pc cooked",35.6,6.0,0.0,1.2,0.4,0.0,32.4,0.25,0.3,0.02,0.11,6.67,16.5,0.67,140.9,26.1,0.35,370,Snack,Pakistani,Snack
"Homemade (Anjum Anand Food Made Easy Recipe) <Potassium> Samosa Potato and Pea With Filo Pastry, 1.5 Samosa",54.8,10.8,0.0,0.0,2.0,0.0,30.2,0.39,2.2,0.09,0.84,13.79,24.0,0.63,163.2,9.1,1.2,96,Snack,Pakistani,Snack
"Take Away Chicken Pakora, 2 piece",76.0,4.0,0.0,3.2,8.8,0.0,24.6,0.1,4.7,0.06,0.16,14.23,5.5,1.08,65.4,21.6,1.34,318,Snack,Pakistani,Snack
Dried Dates Pudding Recipe,96.0,10.4,0.0,5.2,2.8,0.0,0.0,0.24,12.1,0.0,0.32,9.84,9.6,0.2,253.9,13.7,0.79,175,Snack,Global,Snack
"Iceland Platter Vegetable Pakora, 1 vegetable pakora",12.4,1.2,0.0,0.4,0.4,0.0,45.2,0.03,3.5,0.12,0.64,1.76,15.7,0.64,220.6,25.9,0.27,10,Snack,Pakistani,Snack
"Samosa Vegetable Samosa, 2 samosa",200.0,12.0,0.0,6.4,1.6,0.0,32.3,0.12,5.8,0.12,0.15,6.6,61.0,0.29,67.0,15.8,0.47,110,Snack,Pakistani,Snack
"Pakoras Vegetable Fritters, 3 fritters",42.4,2.8,0.0,3.2,0.8,0.0,27.2,0.26,4.6,0.11,0.4,7.3,16.1,0.24,28.1,7.6,0.35,408,Snack,Pakistani,Snack
Date Roll,22.4,3.6,0.0,0.8,0.4,0.0,48.3,0.11,7.1,0.06,1.02,8.91,12.1,0.12,130.7,24.3,1.04,10,Snack,Pakistani,Snack
"Deep Gourmet Potato & Pea Cocktail Samosa, 7.5 pieces (3g)",45.2,5.6,0.0,0.0,1.2,0.0,20.1,0.15,7.1,0.14,0.45,5.26,19.3,0.19,97.5,9.3,0.68,226,Snack,Pakistani,Snack
"Ms Starter Selection Veg Pakora, 21 g",20.0,1.6,0.0,1.2,0.4,0.0,0.0,0.17,2.7,0.14,0.22,2.01,20.9,0.4,127.0,21.0,0.37,215,Snack,Pakistani,Snack
"Chana Masala, 0.33 cup (275g)",61.2,10.4,0.0,1.2,1.6,0.0,23.9,0.45,0.1,0.04,0.21,16.37,34.5,0.58,123.8,4.1,0.33,384,Snack,Pakistani,Snack
"Punjabi Curry With Pakora Food, 0.8 cup",123.6,13.6,0.0,5.2,6.0,0.0,50.1,0.16,5.5,0.13,0.05,11.23,5.6,0.98,71.6,18.9,0.06,352,Snack,Pakistani,Snack
"Food Samosa Meat and Veg, 0.5 Samosa (35 Grams)",17.6,2.4,0.0,0.4,1.2,0.0,7.8,0.06,3.0,0.04,0.14,9.77,18.9,0.23,145.9,12.4,0.62,210,Snack,Global,Snack
"Samosa (Potato-Filled), 1 piece",76.0,0.0,0.0,0.0,0.0,0.0,22.4,0.28,7.8,0.19,0.13,6.8,59.1,0.55,94.7,8.9,0.12,275,Snack,Pakistani,Snack
"Homemade Kala Chana, 1.5 cup",98.4,16.4,0.0,1.6,5.2,0.0,5.8,0.3,0.6,0.03,0.2,14.62,18.6,0.89,209.7,17.5,0.03,319,Snack,Pakistani,Snack
"Aldi Bilash 8 Mini Vegetable Samosas, 1 Samosa (23g)",25.6,2.8,0.0,1.6,0.4,0.0,0.0,0.26,2.0,0.16,0.21,5.5,59.9,1.06,172.4,8.1,0.15,100,Snack,Pakistani,Snack
